id,type,name,yearpublished,minplayers,maxplayers,playingtime,minplaytime,maxplaytime,minage,users_rated,average_rating,bayes_average_rating,total_owners,total_traders,total_wanters,total_wishers,total_comments,total_weights,average_weight
2208,boardgame,The LogiQuad Game System,1969,2,2,30,30,30,0,2,6.5,0,6,0,4,2,3,0,0
2219,boardgame,Forte,1981,2,2,30,30,30,10,3,5.66667,0,13,1,1,0,1,0,0
2220,boardgame,Ion Glory,1994,2,6,60,60,60,12,1,2,0,5,0,0,0,0,0,0
2221,boardgame,Clobber!,1977,2,6,30,30,30,0,2,3.7,0,10,3,1,1,2,1,1
2222,boardgame,Top That!,1987,2,6,30,30,30,7,10,5.25,0,50,4,0,2,5,1,1
2227,boardgame,The Flea Market Game,1986,3,6,60,60,60,0,5,6.8,0,24,2,1,3,4,0,0
2230,boardgame,Ayanu,1987,2,2,30,30,30,10,29,6.95172,0,107,7,2,11,13,5,2.4
2231,boardgame,Watch,1967,2,2,10,10,10,6,20,5.975,0,35,1,1,5,17,4,2.25
2233,boardgame,Colliding Circles,1995,2,2,45,45,45,10,16,7,0,25,0,13,16,8,0,0
2237,boardgame,Flying Circus,2001,2,6,20,20,20,10,12,5.54167,0,29,2,1,7,8,3,1.3333
2239,boardgame,4X4,2000,2,4,20,20,20,10,20,4.885,0,28,1,0,1,5,6,1
2241,boardgame,Sex Maniacs,1990,2,8,10,10,10,18,3,3.33333,0,5,1,1,1,0,0,0
2255,boardgame,Kartenschach,2000,2,2,60,60,60,12,18,6.675,0,51,4,2,6,10,5,2
2257,boardgame,Weekend in Vegas,1974,2,6,180,180,180,0,10,5.2,0,39,12,1,0,8,1,1
2261,boardgame,Battles of Trenton and Princeton,1976,2,2,360,360,360,12,5,7,0,23,1,6,4,2,0,0
2267,boardgame,Space: The Game,1995,2,4,120,120,120,10,0,0,0,1,0,3,2,0,0,0
2269,boardgame,Oil Power,1982,0,0,60,60,60,8,16,6.1875,0,44,7,8,5,11,1,1
2270,boardgame,Borderlands,1995,2,4,90,90,90,12,8,5.75,0,20,0,2,6,4,3,3
2273,boardgame,Hopfen & Malz,1992,3,6,30,30,30,8,16,5.1875,0,31,2,5,1,6,0,0
2278,boardgame,Transformation,1971,2,4,30,30,30,0,6,6.08333,0,24,1,3,9,5,1,2
2279,boardgame,PowerTechnics,1992,2,6,120,120,120,0,16,3.75,0,25,2,0,1,7,0,0
2282,boardgameexpansion,Blood Bowl Companion,1990,2,2,180,180,180,14,250,6.6326,5.79165,505,15,5,7,63,25,2.88
2283,boardgame,Flip,2000,2,2,10,10,10,10,21,4.38095,0,104,2,1,3,19,5,1
2286,boardgameexpansion,Blood Bowl Star Players,1989,2,2,180,180,180,14,272,6.6182,5.79961,527,21,6,9,79,28,2.7857
2287,boardgameexpansion,"Blood Bowl (Second Edition): Elves, Dwarfs and Dungeonbowl",1989,2,2,180,180,180,14,234,6.50342,5.73859,437,14,18,22,68,26,2.5769
2292,boardgame,Rubicon,1990,3,6,45,45,45,0,5,2.4,0,6,2,1,0,4,0,0
2293,boardgame,Heie Karten,1975,2,6,20,20,20,8,3,4.5,0,19,1,0,1,1,0,0
